date,station,rainfall_mm,risk_level
1993-03-03,Chennai nungambakkam,2.0,Low
1993-03-03,Chennai port trust,10.0,Moderate
1993-03-03,Sholinganallur,2.0,Low
1993-05-16,Chennai nungambakkam,46.1,High
1993-05-16,Chennai port trust,46.0,High
1993-05-16,Sholinganallur,46.1,High
1993-05-27,Chennai nungambakkam,11.5,Moderate
1993-05-27,Chennai port trust,8.0,Moderate
1993-05-27,Sholinganallur,11.5,Moderate
1993-05-28,Chennai nungambakkam,0.5,Low
1993-05-28,Sholinganallur,0.5,Low
1993-06-04,Chennai nungambakkam,3.6,Low
1993-06-04,Chennai port trust,2.0,Low
1993-06-04,Sholinganallur,3.6,Low
1993-06-09,Chennai nungambakkam,31.6,Moderate
1993-06-09,Chennai port trust,21.0,Moderate
1993-06-09,Sholinganallur,31.6,Moderate
1993-06-13,Chennai nungambakkam,7.6,Moderate
1993-06-13,Chennai port trust,3.1,Low
1993-06-13,Sholinganallur,7.6,Moderate
1993-06-14,Chennai nungambakkam,2.8,Low
1993-06-14,Chennai port trust,1.8,Low
1993-06-14,Sholinganallur,2.8,Low
1993-06-15,Chennai nungambakkam,3.7,Low
1993-06-15,Chennai port trust,4.8,Low
1993-06-15,Sholinganallur,3.7,Low
1993-06-21,Chennai nungambakkam,0.1,Low
1993-06-21,Sholinganallur,0.1,Low
1993-07-02,Chennai nungambakkam,17.8,Moderate
1993-07-02,Chennai port trust,20.2,Moderate
1993-07-02,Sholinganallur,17.8,Moderate
1993-07-06,Chennai nungambakkam,0.8,Low
1993-07-06,Chennai port trust,1.6,Low
1993-07-06,Sholinganallur,0.8,Low
1993-07-07,Chennai nungambakkam,3.3,Low
1993-07-07,Chennai port trust,4.6,Low
1993-07-07,Sholinganallur,3.3,Low
1993-07-08,Chennai nungambakkam,5.4,Low
1993-07-08,Chennai port trust,8.8,Moderate
1993-07-08,Sholinganallur,5.4,Low
1993-07-09,Chennai nungambakkam,0.1,Low
1993-07-09,Sholinganallur,0.1,Low
1993-07-10,Chennai nungambakkam,2.3,Low
1993-07-10,Chennai port trust,2.0,Low
1993-07-10,Sholinganallur,2.3,Low
1993-07-15,Chennai nungambakkam,1.8,Low
1993-07-15,Sholinganallur,1.8,Low
1993-07-16,Chennai nungambakkam,0.6,Low
1993-07-16,Sholinganallur,0.6,Low
1993-07-22,Chennai nungambakkam,21.4,Moderate
1993-07-22,Chennai port trust,13.4,Moderate
1993-07-22,Sholinganallur,21.4,Moderate
1993-07-23,Chennai nungambakkam,2.0,Low
1993-07-23,Chennai port trust,2.2,Low
1993-07-23,Sholinganallur,2.0,Low
1993-07-24,Chennai nungambakkam,7.4,Low
1993-07-24,Chennai port trust,5.4,Low
1993-07-24,Sholinganallur,7.4,Low
1993-07-25,Chennai nungambakkam,3.3,Low
1993-07-25,Chennai port trust,3.4,Low
1993-07-25,Sholinganallur,3.3,Low
1993-07-26,Chennai nungambakkam,3.2,Low
1993-07-26,Sholinganallur,3.2,Low
1993-07-27,Chennai nungambakkam,0.2,Low
1993-07-27,Chennai port trust,1.0,Low
1993-07-27,Sholinganallur,0.2,Low
1993-07-28,Chennai nungambakkam,1.7,Low
1993-07-28,Chennai port trust,0.4,Low
1993-07-28,Sholinganallur,1.7,Low
1993-07-30,Chennai nungambakkam,0.9,Low
1993-07-30,Chennai port trust,1.0,Low
1993-07-30,Sholinganallur,0.9,Low
1993-08-01,Chennai nungambakkam,1.3,Low
1993-08-01,Sholinganallur,1.3,Low
1993-08-04,Chennai nungambakkam,0.5,Low
1993-08-04,Chennai port trust,2.0,Low
1993-08-04,Sholinganallur,0.5,Low
1993-08-06,Chennai nungambakkam,10.0,Moderate
1993-08-06,Chennai port trust,1.2,Low
1993-08-06,Sholinganallur,10.0,Moderate
1993-08-08,Chennai nungambakkam,3.5,Low
1993-08-08,Sholinganallur,3.5,Low
1993-08-09,Chennai nungambakkam,2.4,Low
1993-08-09,Chennai port trust,2.8,Low
1993-08-09,Sholinganallur,2.4,Low
1993-08-11,Chennai nungambakkam,3.6,Low
1993-08-11,Chennai port trust,0.4,Low
1993-08-11,Sholinganallur,3.6,Low
